Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Izaak Martinez","CLE",0,0,0,4.82754,1,0,0,0,,1.90008,8,2,1,1,0,1,0,0,2,7.52414,3.58284,2.10005,1.35058,0.201878,0.0961301,0.10574796795845032,0.250861,1.32572,0.286745,0.663178,,,4.7756,-0.00903472,-0.00332467,999,,,,,,,9.860573220252991,5.189563802759332,10.50038731098175,5.52629433267635,,,,,,,,,,,,,,,,,,,"Izaak Martinez","sa3025345",801555
"Griffin Kilander","BOS",0,0,0,6.30434,1,1,0,0,,2.52223,10,3,2,2,0,1,0,0,1,4.8056,4.12236,1.16574,1.42566,0.129837,0.111378,0.018459849059581757,0.290941,1.50757,0.305702,0.577454,,,5.67327,-0.0090361,-0.0330061,999,,,,,,,9.864485454559325,3.9110208819556496,11.611138820648193,4.603525100222233,,,,,,,,,,,,,,,,,,,"Griffin Kilander","sa3025467",828499
"Zachary Cawyer","KCR",0,0,0,5.14018,1,0,0,0,,1.18762,6,1,1,1,0,1,0,0,1,8.16173,4.74252,1.72097,1.37662,0.187305,0.108837,0.07846815884113312,0.265246,1.65679,0.305296,0.716039,,,5.08717,-0.00904137,-0.0348202,999,,,,,,,5.188390088081361,4.36872809092434,4.938101410865784,4.1579800252567605,,,,,,,,,,,,,,,,,,,"Zachary Cawyer","sa3025378",815045
"Adrian Herrera","CIN",0,0,0,5.80447,1,1,0,0,,2.92378,14,3,2,2,1,2,0,0,2,7.26152,4.95938,1.4642,1.84061,0.171892,0.117397,0.054495371878147125,0.259419,1.61158,0.278221,0.684515,,,6.02864,-0.0090661,-0.00484157,999,,,,,,,-0.464044141769409,-0.1587138868092725,-0.38111090660095215,-0.13034879195199497,,,,,,,,,,,,,,,,,,,"Adrian Herrera","sa3023627",805155
"Tejay Antone","CIN",0,0,0,5.09915,7,0,0,0,,7,31,7,4,4,1,3,,0,7,8.4136,3.82436,2.2,1.52975,0.214286,0.0974026,0.11688312888145447,0.255474,1.41643,0.295918,0.697115,,,4.89226,-0.00906863,-0.013256,999,,,,,,,26.300000000000015,3.7571428571428593,27,3.857142857142857,,,,,,,,,,,,,,,,,,,"Tejay Antone","16233",622088
"Corbin Martin","BAL",0,0,0,4.76334,1,0,0,0,,1.12198,5,1,1,1,0,1,0,0,1,8.03689,4.77844,1.68191,1.30583,0.184933,0.109955,0.07497867196798325,0.251843,1.59943,0.288147,0.731478,,,5.02473,-0.00906877,-0.0447496,999,,,,,,,4.702673697471619,4.191395040839366,4.609914660453796,4.108720844677602,,,,,,,,,,,,,,,,,,,"Corbin Martin","19884",656686
"Steven Jennings","TEX",0,0,0,4.88603,1,0,0,0,,1.58103,7,2,1,1,0,1,0,0,1,6.91744,3.46289,1.99759,1.44733,0.180581,0.0903994,0.09018170088529587,0.251749,1.34789,0.277011,0.672397,,,5.01155,-0.00911043,-0.0188096,999,,,,,,,5.499618554115297,3.478504629207601,6.905147671699524,4.367500746646387,,,,,,,,,,,,,,,,,,,"Steven Jennings","sa3004812",675651
"Evan Taylor","CHC",0,0,0,4.76978,1,0,0,0,,1.29856,6,1,1,1,0,1,0,0,1,7.96202,4.49514,1.77125,1.26197,0.197626,0.111575,0.0860518217086792,0.249472,1.47882,0.289275,0.701725,,,4.87225,-0.00911371,-0.0346198,999,,,,,,,6.009358286857605,4.627702495344082,5.4928096532821655,4.229917359817801,,,,,,,,,,,,,,,,,,,"Evan Taylor","sa3019950",681117
"Austin Kitchen","SEA",0,0,0,4.64109,1,0,0,0,,1.44999,6,2,1,1,0,0,0,0,1,5.73214,3.05432,1.87673,1.16006,0.1424,0.0758768,0.06652326881885529,0.263293,1.41552,0.285191,0.690077,,,4.72438,-0.00911753,-0.0321164,999,,,,,,,7.529942131042481,5.19309154599333,9.249960899353027,6.3793177837541695,,,,,,,,,,,,,,,,,,,"Austin Kitchen","27910",685116
"Nick Payero","SEA",0,0,0,5.1702,1,1,0,0,,4.28702,18,4,3,2,1,1,0,0,3,5.30928,3.02698,1.75399,1.55115,0.138133,0.0787535,0.05937907099723816,0.260556,1.3499,0.268954,0.651681,,,5.36912,-0.00913094,-0.0508503,999,,,,,,,12.023963642120366,2.804735623689665,11.435110569000244,2.6673784891825707,,,,,,,,,,,,,,,,,,,"Nick Payero","sa3022956",809579
"Reidis Sena","BOS",0,0,0,5.12141,1,0,0,0,,1.63096,7,2,1,1,0,1,0,0,1,7.87573,5.10512,1.54271,1.10961,0.199575,0.129367,0.07020874321460724,0.260658,1.54852,0.310162,0.673734,,,4.87924,-0.00917511,-0.0107862,999,,,,,,,5.869119787216188,3.598562877087619,7.154810667037964,4.386864980175423,,,,,,,,,,,,,,,,,,,"Reidis Sena","sa3009626",684128
"Carter Spivey","CLE",0,0,0,5.70764,1,1,0,0,,4.70826,20,5,3,3,1,2,0,0,2,4.73354,3.86913,1.22341,1.31589,0.126542,0.103434,0.02310822904109955,0.278108,1.45332,0.291647,0.609192,,,5.44454,-0.00917954,-0.0121242,999,,,,,,,7.54111032485962,1.6016773255398837,8.541290760040283,1.8141084206263096,,,,,,,,,,,,,,,,,,,"Carter Spivey","sa3023477",701053
"Aidan Curry","TEX",0,0,0,5.57933,1,1,0,0,,3.9606,17,4,3,2,1,2,0,0,3,6.977,4.91287,1.42015,1.55229,0.175838,0.123817,0.05202139914035797,0.256426,1.523,0.281065,0.660074,,,5.65274,-0.00918929,-0.051565,999,,,,,,,6.608455133438115,1.6685481293638351,6.8030102252960205,1.7176707348779665,,,,,,,,,,,,,,,,,,,"Aidan Curry","sa3015334",695778
