Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Hao-Yu  Lee","DET",1,5,5,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.240686,0.0681489,0.199703,0.341252,0.29555,0.317731,0.276347,0.613281,0.0770454,4.38037,0.29349,-0.00144497,-0.00855346,0.434778,-0.152827,76.5626,-0.00999843,0.000233766,-0.1447343099862337,0.018289322673808783,0.00436741,999,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,"Hao-Yu  Lee","sa3017863",701678
"Trey Mancini","ARI",1,5,5,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.24367,0.0878382,0.220411,0.398521,0.316105,0.39429,0.314191,0.710395,0.15062,4.691,0.290066,0,3.08598e-9,0.587049,-0.000556373,96.8062,3.08598e-9,0,-0.019165587319484922,-0.12638889253139496,0.00243309,750.7999877929688,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,"Trey Mancini","15149",641820
"Blake Hunt","SEA",1,5,4,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.194089,0.050965,0.28979,0.175869,0.238216,0.283257,0.234282,0.521474,0.0891687,2.08739,0.258713,-0.00660481,-0.0072336,0.246912,-0.29951,52.308,-0.0138384,0.0414823,-0.26879287231713533,0.13330325484275818,0.00220922,999,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,"Blake Hunt","sa3004153",675448
"Blake Sabol","BOS",1,5,4,1,1,0,0,0,1,0,0,0,1,0,0,0,,0,0,0.229468,0.084004,0.290405,0.289265,0.297994,0.336651,0.284721,0.634645,0.107183,3.35301,0.313344,-0.00189299,-0.00769803,0.424656,-0.107991,75.4387,-0.00959102,-0.0835075,-0.13758206740021706,0.005998648703098297,0.00220426,999,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,"Blake Sabol","25805",666165
"Liover Peguero","PIT",7,30,28,7,5,1,0,0,3,3,2,0,8,0,0,0,,1,0,0.229721,0.0570988,0.255869,0.223156,0.275874,0.326466,0.269008,0.602339,0.0967445,4.25779,0.298907,0.00820163,0.0162037,2.43149,-1.09414,65.5577,0.0244053,-0.0341108,-1.2157006952911615,0.21866696327924728,0.00180337,999,,,,,,,22,3.142857142,22,3.142857142,,,,,,,,,,,,,,,,,,,"Liover Peguero","24273",678894
"Luis Guillorme","HOU",1,5,4,1,1,0,0,0,1,0,1,0,1,0,0,0,,0,0,0.234048,0.111913,0.193976,0.576943,0.320654,0.280906,0.278005,0.60156,0.0468576,3.5252,0.294591,-0.00903128,-0.0105671,0.445224,-0.147404,78.0777,-0.0195984,-0.0755788,-0.14670173823833466,-0.02094915509223938,0.00025454,999,,,,,,,4.6,4.6,4.6,4.6,,,,,,,,,,,,,,,,,,,"Luis Guillorme","16451",641645
"Billy Cook","PIT",2,10,9,2,1,0,0,0,1,1,1,0,3,0,0,0,,0,0,0.220533,0.0701415,0.289785,0.242046,0.282191,0.358384,0.284839,0.640576,0.137851,5.10505,0.292486,0.00995687,0.0218748,0.937897,-0.237313,76.1727,0.0318317,0.0228247,-0.2541373558342457,-0.08550866693258286,-0.000154075,720.0700073242188,,,,,,,5.2,2.6,5.2,2.6,,,,,,,,,,,,,,,,,,,"Billy Cook","29573",695257
"Ryan Kreidler","DET",1,5,5,1,1,0,0,0,1,0,0,0,2,0,0,0,,0,0,0.1896,0.090872,0.32643,0.278381,0.26741,0.262825,0.245237,0.530235,0.0732246,5.52997,0.279901,0.00625367,0.0184368,0.309604,-0.278001,54.7885,0.0246904,0.00567223,-0.23521946743130684,0.059838898945599794,-0.000694061,745.6799926757812,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,"Ryan Kreidler","25867",668952
"Osleivis Basabe","SFG",1,5,5,1,1,0,0,0,1,0,0,0,1,0,0,0,,0,0,0.245667,0.0461389,0.185718,0.248435,0.282755,0.302912,0.26301,0.585667,0.0572457,4.21856,0.298303,-0.00253215,-0.00952697,0.381114,-0.206491,66.0941,-0.0120591,0.0215479,-0.21552411653101444,0.039603473618626595,-0.000707722,999,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,"Osleivis Basabe","23985",678545
"Jason Delay","ATL",1,5,4,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.222647,0.0624519,0.199983,0.312286,0.275937,0.278782,0.252528,0.554719,0.0561354,1.89034,0.277308,-0.00818328,-0.00850682,0.309887,-0.227352,55.9029,-0.0166901,-0.00799502,-0.2586299628019333,0.08228275459259748,-0.00225081,999,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,"Jason Delay","19806",641511
"Hayden Senger","NYM",1,5,4,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.20042,0.0584496,0.308853,0.189248,0.253765,0.267207,0.237308,0.520971,0.0667863,1.95315,0.287767,-0.006887,-0.00695278,0.253898,-0.283341,50.4092,-0.0138398,0.0154617,-0.28592046443372965,0.10573952365666628,-0.00264734,999,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,"Hayden Senger","21489",663584
"Pedro León","HOU",1,5,5,1,1,0,0,0,1,1,0,0,2,0,0,0,,0,0,0.209803,0.0772757,0.343968,0.22466,0.277112,0.30044,0.262286,0.577552,0.0906371,5.67426,0.313036,0.000388577,0.00449496,0.381433,-0.211194,67.0753,0.00488354,-0.0340489,-0.18601044267416,-0.015838997438549995,-0.00328266,749.3400268554688,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,"Pedro Leon","27781",694175
"Joshua Palacios","CHW",18,76,68,16,11,3,0,2,8,8,6,0,17,1,1,0,,1,1,0.237429,0.0786364,0.220543,0.356558,0.306389,0.368522,0.300948,0.674912,0.131093,4.00515,0.28488,-0.0471635,-0.0988034,8.00646,-0.807619,92.0796,-0.145967,-0.781041,-0.8289515674114227,-1.7379851341247559,-0.00381488,750.219970703125,,,,,,,69.2,3.844444444,69.2,3.844444444,,,,,,,,,,,,,,,,,,,"Joshua Palacios","19818",641943
"Owen Caissie","CHC",2,10,9,2,2,0,0,0,1,1,1,0,3,0,0,0,,0,0,0.226719,0.0920829,0.329679,0.27931,0.299662,0.319107,0.280097,0.618769,0.0923885,3.11408,0.33592,-0.00866132,-0.0182259,0.899731,-0.275479,78.1301,-0.0268872,0.016116,-0.28936460986733437,-0.09221729449927807,-0.00449156,741.4000244140625,,,,,,,5.2,2.6,5.2,2.6,,,,,,,,,,,,,,,,,,,"Owen Caissie","sa3014465",683357
"Kyle Farmer","COL",48,209,191,48,33,10,1,4,22,22,13,0,43,4,1,0,,2,1,0.251202,0.0609937,0.203717,0.299405,0.309897,0.381514,0.306633,0.691411,0.130311,4.02921,0.300103,-0.44341,-0.440029,23.0172,-1.28054,80.2568,-0.88344,0.144661,-5.782506465911865,-1.257499098777771,-0.00502156,610.9099731445312,,,,,,,202.1,4.210416666,202.1,4.210416666,,,,,,,,,,,,,,,,,,,"Kyle Farmer","14813",571657
