Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ben Brown","CHC",5,4,7,3.85024,24,14,0,0,,86,361,75,40,37,10,33,,3,94,9.83456,3.45996,2.84239,1.00367,0.260071,0.0914972,0.16857338696718216,0.229781,1.25258,0.293961,0.718295,,,3.64241,1.33114,1.08216,428.55999755859375,,,,,,,398.4,4.632558139534884,380,4.4186046511627906,,,,,,,,,,,,,,,,,,,"Ben Brown","23590",676962
"Lance McCullers Jr.","HOU",7,5,8,3.97073,35,18,0,0,,112,483,101,54,50,13,50,,6,107,8.59266,4.01909,2.13796,1.01031,0.221638,0.103668,0.11797024309635162,0.235965,1.34529,0.286851,0.728652,,,4.1542,1.3166,1.13631,587.7899780273438,,,,,,,452.3000000000002,4.038392857142859,437,3.9017857142857144,,,,,,,,,,,,,,,,,,,"Lance McCullers Jr.","14120",621121
"Tyler Mahle","TEX",6,5,9,4.07371,19,19,0,0,,102,425,91,50,46,13,34,,4,93,8.19429,2.98827,2.74216,1.1641,0.218025,0.0795086,0.13851629942655563,0.235536,1.22862,0.277308,0.703197,,,4.07638,1.30479,1.13001,452.010009765625,,,,,,,430.30000000000007,4.218627450980393,413,4.049019607843137,,,,,,,,,,,,,,,,,,,"Tyler Mahle","16358",641816
"Cade Smith","CLE",3,2,0,2.92649,50,0,3,10,,50,201,38,18,16,4,17,,2,64,11.6157,3.01883,3.84774,0.666034,0.31784,0.0826045,0.23523570597171783,0.208448,1.10175,0.299487,0.7497,,,2.64126,1.29573,1.0406,368.2799987792969,,,,,,,348,6.96,324,6.48,,,,,,,,,,,,,,,,,,,"Cade Smith","27867",671922
"José Berríos","TOR",8,8,12,4.26585,24,24,0,0,,142,601,138,73,67,22,42,,7,121,7.68377,2.6868,2.85982,1.38246,0.201742,0.0705435,0.1311982423067093,0.250364,1.27042,0.284665,0.715597,,,4.44701,1.29312,1.12628,242.77000427246094,,,,,,,516.3999999999999,3.6366197183098583,519,3.6549295774647885,,,,,,,,,,,,,,,,,,,"Jose Berrios","14168",621244
"Bryce Miller","SEA",7,6,10,3.81205,18,18,0,0,,103,423,90,47,44,14,30,,4,97,8.51671,2.63148,3.23647,1.21484,0.230352,0.0711737,0.15917794406414032,0.23049,1.16402,0.272797,0.721636,,,3.94906,1.27962,1.18064,78.69999694824219,,,,,,,448,4.349514563106796,425,4.12621359223301,,,,,,,,,,,,,,,,,,,"Bryce Miller","29837",682243
"Shane McClanahan","TBR",6,4,7,3.51375,20,14,0,1,,82,337,70,35,32,10,26,,2,88,9.66023,2.80743,3.44096,1.15134,0.261417,0.075972,0.18544451892375946,0.227864,1.1707,0.284652,0.752655,,,3.6354,1.26851,1.28379,154.27000427246094,,,,,,,397.80000000000007,4.851219512195123,376,4.585365853658536,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"Erick Fedde","STL",7,8,10,4.34337,21,21,0,0,,121,514,118,63,58,16,41,,3,97,7.24424,3.02932,2.39137,1.19538,0.189155,0.079099,0.11005605012178421,0.251903,1.31646,0.286928,0.700478,,,4.32075,1.26499,1.04943,335.6700134277344,,,,,,,453.8000000000001,3.7504132231404967,459,3.793388429752066,,,,,,,,,,,,,,,,,,,"Erick Fedde","17425",607200
"Justin Verlander","SFG",6,7,9,4.2426,19,19,0,0,,108,458,107,55,51,14,32,,4,90,7.51352,2.61946,2.86834,1.2049,0.197311,0.0687891,0.12852175533771515,0.254057,1.28215,0.29233,0.703156,,,4.16819,1.26115,1.03297,334.260009765625,,,,,,,420.8,3.8962962962962964,430,3.9814814814814814,,,,,,,,,,,,,,,,,,,"Justin Verlander","8700",434378
"Shane Bieber","CLE",4,3,6,3.64598,16,12,0,1,,73,301,68,32,29,8,18,,2,71,8.75347,2.28346,3.83343,1.00248,0.235239,0.0613652,0.1738736480474472,0.244558,1.19577,0.300089,0.726497,,,3.45788,1.2506,1.06312,448.3999938964844,,,,,,,351.00000000000006,4.808219178082193,347,4.7534246575342465,,,,,,,,,,,,,,,,,,,"Shane Bieber","19427",669456
"Taj Bradley","TBR",7,7,11,4.08693,21,21,0,0,,120,504,110,59,55,19,40,,4,124,9.26806,3.02525,3.06357,1.41926,0.245746,0.0802156,0.16553056240081787,0.238155,1.24668,0.28562,0.734073,,,4.1994,1.24866,1.06192,198.11000061035156,,,,,,,484.29999999999995,4.035833333333333,469,3.908333333333333,,,,,,,,,,,,,,,,,,,"Taj Bradley","22543",671737
"Jameson Taillon","CHC",8,7,10,4.30007,21,21,0,0,,124,516,123,64,59,18,29,,3,99,7.1893,2.10321,3.41825,1.34328,0.191644,0.0560649,0.13557913154363632,0.255384,1.23174,0.286758,0.696538,,,4.23068,1.23778,1.05863,341.82000732421875,,,,,,,478.3999999999999,3.8580645161290317,488,3.935483870967742,,,,,,,,,,,,,,,,,,,"Jameson Taillon","11674",592791
