#,Name,B,Team,ESPN,Y!,Date,GT,$,Opp,Pitcher,%St,LU,PA,AB,H,R,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,R%,RazzID
229,Henry Davis,R,PIT,C,C,5/21,-12,-7.8,CIN,BSinger(R),100,Y(9),3.5,3.1,0.69,0.41,0.09,0.37,0.03,0.29,0.83,0.225,0.306,0.365,0.671,0,680779
230,Ryan Jeffers,R,MIN,C,C,5/21,3,-7.9,CLE,GWilliams(R),100,Y(1),4.2,3.7,0.77,0.50,0.12,0.37,0.02,0.39,1.03,0.207,0.294,0.355,0.649,94,680777
231,Yoan Moncada,S,LAA,3B,3B,5/21,10,-8.1,@ATH,JSears(L),91,N(3),4.3,3.9,0.87,0.42,0.09,0.41,0.03,0.33,1.23,0.225,0.290,0.348,0.638,7,17232
232,Pete Alonso,R,NYM,1B,1B,5/21,6,-8.1,@BOS,GCrochet(L),100,Y(4),4.1,3.6,0.72,0.39,0.14,0.45,0.03,0.45,1.28,0.200,0.297,0.364,0.661,100,624413
233,Jason Heyward,L,SD,OF,OF,5/21,7,-8.2,@TOR,KGausman(R),100,Y(8),3.8,3.5,0.75,0.38,0.09,0.36,0.09,0.24,0.90,0.217,0.272,0.356,0.628,0,4940
234,Josh H. Smith,L,TEX,SS/3B,SS/3B/ OF,5/21,7,-8.2,@NYY,RYarbrough(L),100,Y(9),3.7,3.3,0.73,0.45,0.06,0.36,0.06,0.32,0.75,0.224,0.307,0.326,0.633,94,669701
235,Salvador Perez,R,KC,C/1B,C/1B,5/21,3,-8.6,@SF,LWebb(R),100,Y(4),4.2,4.0,0.93,0.36,0.09,0.44,0.00,0.13,1.02,0.234,0.266,0.348,0.614,100,7304
236,Gavin Sheets,L,SD,1B/OF,1B/OF,5/21,7,-8.7,@TOR,KGausman(R),100,Y(6),4.0,3.7,0.83,0.38,0.10,0.38,0.04,0.26,1.01,0.225,0.278,0.362,0.640,86,657757
237,Victor Scott II,L,STL,OF,OF,5/21,1,-8.7,DET,BHurter(L),100,Y(9),3.4,3.1,0.69,0.36,0.05,0.31,0.16,0.19,0.74,0.221,0.271,0.307,0.578,100,687363
238,Michael Massey,L,KC,2B,2B,5/21,3,-8.9,@SF,LWebb(R),100,Y(8),3.7,3.5,0.86,0.36,0.08,0.36,0.04,0.13,0.76,0.242,0.273,0.364,0.637,2,686681
239,Harrison Bader,R,MIN,OF,OF,5/21,3,-9.2,CLE,GWilliams(R),100,Y(6),3.7,3.4,0.72,0.32,0.07,0.34,0.14,0.24,0.87,0.216,0.277,0.333,0.610,13,664056
240,Kody Clemens,L,MIN,1B/2B,1B/2B,5/21,3,-9.2,CLE,GWilliams(R),100,Y(4),3.6,3.2,0.69,0.35,0.11,0.43,0.03,0.28,0.99,0.213,0.279,0.375,0.654,0,665019
241,Tommy Pham,R,PIT,OF,OF,5/21,-12,-9.4,CIN,BSinger(R),100,Y(8),3.6,3.2,0.76,0.38,0.07,0.36,0.04,0.28,0.81,0.235,0.299,0.353,0.652,0,2967
242,Starling Marte,R,NYM,OF,OF,5/21,6,-9.9,@BOS,GCrochet(L),100,Y(2),3.8,3.5,0.78,0.36,0.05,0.28,0.15,0.22,1.12,0.226,0.279,0.326,0.605,0,9241
