Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"George Kirby","SEA",8.58909,6.78836,9.19553,3.64969,22,22,0,0,,126.06,507.3,114.609,54.9,51.12,16.1795,19.9718,0.323563,4.0735,112.593,8.03856,1.42588,5.63762,1.15513,0.221947,0.0393688,0.1825776994228363,0.23716,1.06759,0.277671,0.711883,,,3.56197,2.73138,2.22409,100.83999633789062,,,,,,,590.6000000000001,4.687301587301588,576,4.571428571428571,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Hunter Brown","HOU",9.01311,6.09187,9.80864,3.64977,21,21,0,0,,126.378,522.3,106.817,54.69,51.25,13.7627,43.682,0.259203,4.50783,138.906,9.89218,3.11081,3.17993,0.980109,0.265951,0.083634,0.18231657147407532,0.225301,1.19087,0.289491,0.730078,,,3.46896,2.69384,2.22505,98.58000183105469,,,,,,,613,4.865079365079365,579,4.595238095238095,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Max Fried","NYY",10.2817,6.29658,10.6318,3.45001,23,23,0,0,,138.391,570.38,119.963,57.2,53.05,13.7316,43.8129,0.322067,5.25262,129.391,8.41471,2.84929,2.95327,0.893006,0.226851,0.0768134,0.15003734827041626,0.230116,1.18343,0.280892,0.737285,,,3.59115,2.6825,2.79455,96.06999969482422,,,,,,,648,4.695652173913044,619,4.4855072463768115,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Michael King","SDP",8.97645,7.28114,10.2461,3.85032,23,23,0,0,,134.872,563.49,117.282,61.89,57.7,16.5457,46.3019,0.445693,5.86316,141.404,9.4359,3.08972,3.05397,1.10409,0.250944,0.0821698,0.16877395659685135,0.22937,1.21289,0.28507,0.724213,,,3.76581,2.61359,2.05203,62.720001220703125,,,,,,,611.7,4.5311111111111115,580,4.296296296296297,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"Spencer Schwellenbach","ATL",9.3653,6.02508,9.53401,3.9303,22,22,0,0,,127.204,526.64,121.005,59.58,55.55,14.7756,30.1374,0.390064,4.63118,116.897,8.27077,2.1323,3.87881,1.04541,0.221968,0.0572258,0.16474204882979393,0.24601,1.18819,0.294919,0.701862,,,3.59964,2.57055,1.75271,78.30000305175781,,,,,,,569.7000000000002,4.485826771653545,569,4.480314960629921,,,,,,,,,,,,,,,,,,,"Spencer Schwellenbach","31846",680885
"Logan Gilbert","SEA",7.68886,5.74571,8.24276,3.54006,19,19,0,0,,110.922,444.37,91.943,46.85,43.63,15.7463,23.6259,0.323059,3.11678,124.78,10.1244,1.91696,5.28147,1.27763,0.280801,0.0531672,0.22763370722532272,0.220156,1.04189,0.274978,0.734773,,,3.42644,2.51478,2.119,26.360000610351562,,,,,,,554.4000000000001,4.994594594594595,516,4.648648648648648,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Pablo López","MIN",8.17325,7.09432,9.21493,4.01033,22,22,0,0,,125.092,520.89,119.415,59.91,55.74,16.0399,31.4378,0.293936,4.87522,127.515,9.17435,2.26186,4.05611,1.15403,0.244803,0.060354,0.18444867059588432,0.246431,1.20593,0.303133,0.708294,,,3.60661,2.44541,1.62579,73.29000091552734,,,,,,,566.8000000000001,4.534400000000001,565,4.52,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
"Bryan Woo","SEA",7.98501,6.0747,8.49621,3.5698,20,20,0,0,,115.62,466.88,98.8188,49.09,45.86,15.1058,24.8984,0.317631,4.46127,110.205,8.5785,1.93812,4.42619,1.17586,0.236046,0.0533294,0.1827165186405182,0.225861,1.07003,0.268131,0.72758,,,3.66148,2.34759,2.22717,130.55999755859375,,,,,,,549.5000000000001,4.737068965517242,518,4.4655172413793105,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Sonny Gray","STL",7.69815,7.45768,8.9586,4.10989,22,22,0,0,,123.288,515.43,114.044,60.31,56.3,15.5887,36.6409,0.248473,4.46863,125.562,9.16603,2.67478,3.42684,1.13797,0.243607,0.0710881,0.17251913249492645,0.240436,1.22222,0.29551,0.701337,,,3.71473,2.33451,1.4996,122.05000305175781,,,,,,,546.0000000000001,4.439024390243904,536,4.357723577235772,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Joe Ryan","MIN",7.44428,6.31462,7.9791,3.87981,20,20,0,0,,111.74,452.72,95.8049,51.49,48.17,18.2506,23.8538,0.225264,4.36505,123.259,9.92781,1.92129,5.16727,1.46998,0.272264,0.05269,0.2195737585425377,0.225688,1.07087,0.274052,0.724367,,,3.7823,2.30809,1.74881,93.91999816894531,,,,,,,519.8000000000002,4.64107142857143,488,4.357142857142857,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
