Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Trey Sweeney","DET",78,333.308,301.736,69.0061,44.3524,13.9826,2.45139,8.21968,39.4948,33.4664,26.6067,0.583599,84.4036,2.77476,1.83569,0.354922,5.37108,7.35323,1.97453,0.228697,0.0798262,0.25323,0.315232,0.2955,0.37301,0.296188,0.66851,0.144313,5.8189,0.288158,,0.11182,33.928,-4.81229,90.45,0.11182,0.82,-3.5077183321118355,4.394635260105133,1.24192,499.0199890136719,,,,,,,309.3,3.965384615,309.3,3.965384615,,,,,,,,,,,,,,,,,,,"Trey Sweeney","29575",700242
"Alek Thomas","ARI",80,340.747,311.896,79.8908,54.0945,17.4822,2.22088,6.09315,42.0643,36.2512,22.1754,0.783949,66.0695,2.93544,2.01943,1.72021,7.52864,8.68847,2.13931,0.256145,0.0650789,0.193896,0.335638,0.309715,0.385045,0.30653,0.69476,0.1289,5.82332,0.30526,,0.271856,37.4896,-2.11521,91.6692,0.271856,2.36,-3.097626954317093,3.5945677757263184,1.2301,558.010009765625,,,,,,,339.6,4.245,339.6,4.245,,,,,,,,,,,,,,,,,,,"Alek Thomas","23792",677950
"Kyle Higashioka","TEX",54,211.593,194.987,41.8296,25.1939,8.31214,0.260479,8.06309,22.3253,25.4905,12.6728,0.0260344,54.4434,0.958549,1.37336,1.02293,2.83718,0.765875,0.331992,0.214525,0.0598921,0.257302,0.232769,0.264109,0.383881,0.284174,0.64799,0.169356,2.70953,0.252263,,-0.278356,19.5151,-5.07825,80.8678,-0.278356,6.63,-4.881677716970444,9.709710121154785,1.22954,368.2300109863281,,,,,,,182.5,3.379629629,182.5,3.379629629,,,,,,,,,,,,,,,,,,,"Kyle Higashioka","5517",543309
"Victor Caratini","HOU",42,165.217,146.624,35.5608,24.5381,5.8731,0.083701,5.06585,18.7471,19.2399,13.9609,0.497664,32.3471,2.70215,1.25516,0.408116,4.09732,0.229381,0.104155,0.242531,0.0845004,0.195785,0.431597,0.317389,0.387378,0.312892,0.704767,0.144847,1.96486,0.276057,,-0.308134,19.0142,-0.188961,102.496,-0.308134,3.84,0.16070625185966492,6.043703556060791,1.21186,568.1599731445312,,,,,,,170,4.047619047,170,4.047619047,,,,,,,,,,,,,,,,,,,"Victor Caratini","14968",605170
"Keibert Ruiz","WSN",91,349.9,323.35,76.527,53.554,15.0324,0.195735,7.74487,31.7983,40.2526,18.9149,0.451846,39.332,3.97155,3.03349,0.629496,6.88077,0.990868,0.548282,0.236669,0.054058,0.112409,0.480904,0.284632,0.356225,0.283737,0.640857,0.119556,2.0472,0.24626,,-0.605776,32.1493,-8.51944,78.3868,-0.605776,2.27,-9.582325637340546,9.291604995727539,1.18029,209.4499969482422,,,,,,,295,3.241758241,295,3.241758241,,,,,,,,,,,,,,,,,,,"Keibert Ruiz","19610",660688
"Josh Naylor","ARI",103,435.999,389.122,103.384,67.4621,20.9648,0.690039,14.267,55.6178,59.4702,38.2463,3.59558,59.0044,4.46039,3.76638,0.403726,9.97155,6.55249,2.63588,0.265685,0.087721,0.135331,0.648194,0.335382,0.433103,0.335329,0.768485,0.167418,3.76578,0.278824,,-0.571822,57.963,7.28705,110.979,-0.571822,0.08,5.1103405356407166,-8.306014940142632,1.17766,100.47000122070312,,,,,,,516.9,5.018446601,516.9,5.018446601,,,,,,,,,,,,,,,,,,,"Josh Naylor","18839",647304
"Victor Scott II","STL",90,376.315,340.516,80.9901,57.1615,14.3578,3.02059,6.45025,48.5968,30.0291,25.332,0.446005,80.1697,3.56286,2.80895,4.09592,5.19642,24.2749,3.80062,0.237846,0.0673159,0.213039,0.31598,0.295216,0.354579,0.28881,0.649795,0.116734,7.62436,0.290372,,2.6624,36.0959,-7.64306,82.8938,2.6624,2.3,-4.978641986846924,3.6888887882232666,1.16833,321.8500061035156,,,,,,,348.1,3.867777777,348.1,3.867777777,,,,,,,,,,,,,,,,,,,"Victor Scott II","31349",687363
"Joc Pederson","TEX",74,312.961,267.333,64.3948,37.3246,11.8992,0.511749,14.6593,42.1722,41.7529,36.3572,1.85529,65.7636,5.80091,2.7634,0.503378,5.33572,2.76028,0.982453,0.240879,0.116172,0.210134,0.552846,0.341237,0.453724,0.347554,0.794961,0.212845,3.60201,0.262217,,-0.439986,44.6511,8.27577,125.229,-0.439986,-0.01,8.538230657577515,-7.75005460716784,1.16149,311.3399963378906,,,,,,,401.8,5.429729729,401.8,5.429729729,,,,,,,,,,,,,,,,,,,"Joc Pederson","11899",592626
"Lourdes Gurriel Jr.","ARI",94,400.647,370.202,102.177,67.9684,19.6988,1.70293,12.8073,50.5403,55.2744,22.7057,0.230284,63.1238,3.60205,3.75227,0.385758,7.76011,3.99483,1.35491,0.276005,0.0566726,0.157554,0.359702,0.321003,0.442202,0.332965,0.763205,0.166197,4.08857,0.299877,,-0.469469,52.5096,5.9425,109.395,-0.469469,-0.59,3.998270571231842,-6.211141884326935,1.15702,219.75999450683594,,,,,,,478.6,5.091489361,478.6,5.091489361,,,,,,,,,,,,,,,,,,,"Lourdes Gurriel Jr.","19238",666971
"Ke'Bryan Hayes","PIT",101,424.159,390.446,100.452,72.3981,18.0323,1.44477,8.57728,48.7082,44.5872,26.8554,0.262283,77.7246,2.86597,3.27547,0.71566,8.8943,10.2651,4.12859,0.257276,0.0633146,0.183244,0.34552,0.307418,0.376764,0.3029,0.684182,0.119488,4.79932,0.298859,,-0.396667,45.4416,-3.85822,88.2827,-0.396667,1.69,-6.295979410409927,3.2486419677734375,1.15204,362.1099853515625,,,,,,,410.3,4.062376237,410.3,4.062376237,,,,,,,,,,,,,,,,,,,"Ke'Bryan Hayes","18577",663647
"Drake Baldwin","ATL",51,204.708,184.88,47.0143,31.998,8.50623,0.44744,6.06261,24.2668,25.1316,16.7185,0.324291,41.517,1.48909,1.34219,0.278218,4.66121,0.139469,0.0494268,0.254295,0.0816698,0.20281,0.40269,0.319042,0.403521,0.319115,0.722563,0.149226,2.32665,0.295375,,-0.374317,24.5729,0.779713,100.55,-0.374317,1.83,-0.2406570017337799,4.447355628013611,1.14322,999,,,,,,,214.7,4.209803921,214.7,4.209803921,,,,,,,,,,,,,,,,,,,"Drake Baldwin","31539",686948
"Vinnie Pasquantino","KCR",105,444.066,396.653,102.874,63.3223,23.3586,1.005,15.1885,52.6822,61.6078,38.3238,2.34951,63.0895,3.88069,4.51167,0.696604,8.21204,0.312078,0.108427,0.259356,0.0863019,0.142072,0.607451,0.327219,0.438187,0.3336,0.765406,0.178831,2.22494,0.271568,,-0.772042,58.4246,6.81098,110.977,-0.772042,-0.11,4.770860075950623,-8.787983283400536,1.11689,119.11000061035156,,,,,,,519.2,4.944761904,519.2,4.944761904,,,,,,,,,,,,,,,,,,,"Vinnie Pasquantino","27676",686469
"Trevor Larnach","MIN",72,302.96,266.776,67.6377,42.2805,13.6126,0.572109,11.1725,37.9131,38.3044,30.7976,1.27542,72.353,2.73676,2.35022,0.300202,5.60567,2.17374,0.761634,0.253538,0.101655,0.23882,0.425657,0.334276,0.434492,0.337238,0.768768,0.180954,3.35655,0.30423,,-0.444354,40.7368,5.52384,118.667,-0.444354,-1.41,5.986312299966812,-5.399070858955383,1.1062,321.239990234375,,,,,,,366.5,5.090277777,366.5,5.090277777,,,,,,,,,,,,,,,,,,,"Trevor Larnach","21501",663616
