Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Josh Bell","WSN",94,406,361,86,56,16,1,13,42,41,40,1,81,3,2,0,,1,1,0.237402,0.0978445,0.198794,0.49219,0.315634,0.397873,0.316038,0.713506,0.16047,2.65625,0.268428,-0.516964,-0.791555,47.7412,0.552019,100.045,-1.30852,-0.0931275,-1.2868960108608007,-10.02831295877695,0.234072,334.1600036621094,,,,,,,423,4.5,423,4.5,,,,,,,,,,,,,,,,,,,"Josh Bell","13145",605137
"Zach Dezenzo","HOU",44,189,173,41,26,8,0,6,20,22,13,0,56,1,1,0,,3,1,0.236908,0.0702792,0.299044,0.235013,0.294607,0.391909,0.30246,0.686516,0.155001,4.05739,0.313526,-0.0119412,-0.106584,20.1451,-1.78216,95.1937,-0.118525,-0.960187,-1.1495737880468369,-2.9450637102127075,0.227497,527.6799926757812,,,,,,,181.1,4.11590909,181.1,4.11590909,,,,,,,,,,,,,,,,,,,"Zach Dezenzo","31562",701305
"J.D. Martinez",,47,202,180,43,25,10,1,7,22,25,19,0,59,2,2,0,,0,0,0.238853,0.0921986,0.289362,0.318627,0.313475,0.417197,0.321198,0.730673,0.178344,2.03487,0.310345,-0.259222,-0.347281,24.6097,1.10549,104.68,-0.606503,0,0.49320822954177856,-5.05555534362793,0.226786,696.6699829101562,,,,,,,224.3,4.772340425,224.3,4.772340425,,,,,,,,,,,,,,,,,,,"J.D. Martinez","6184",502110
"Thomas Saggese","STL",28,121,112,27,18,5,1,3,13,12,6,0,31,2,1,0,,1,0,0.24043,0.0525638,0.254809,0.206287,0.288055,0.384074,0.295635,0.672129,0.143643,4.80521,0.300751,0,-0.0517373,12.2972,-1.80528,87.4697,-0.0517373,-0.123458,-1.8563652895390987,-0.01512482762336731,0.226141,694.5,,,,,,,113.5,4.053571428,113.5,4.053571428,,,,,,,,,,,,,,,,,,,"Thomas Saggese","27883",695336
"Jason Heyward","SDP",62,267,242,53,34,11,1,7,28,28,21,0,55,3,2,0,,3,1,0.220283,0.0778447,0.2073,0.375517,0.287145,0.364591,0.289688,0.651735,0.144308,4.0867,0.253495,-0.0675398,-0.255391,25.8339,-5.24389,85.6933,-0.322931,0.894619,-4.863603442907333,-1.8967392444610596,0.225689,691.02001953125,,,,,,,233.1,3.759677419,233.1,3.759677419,,,,,,,,,,,,,,,,,,,"Jason Heyward","4940",518792
"Nicky Lopez","CHC",21,91,81,20,16,3,1,0,10,5,8,0,14,1,1,1,,2,1,0.242807,0.0839237,0.148963,0.563388,0.313585,0.310112,0.284152,0.623697,0.0673058,5.58364,0.28605,0.0586401,0.00120268,8.39132,-2.18558,80.8495,0.0598428,0.763078,-2.0087180361151695,1.1241892576217651,0.223296,740.9199829101562,,,,,,,73.4,3.495238095,73.4,3.495238095,,,,,,,,,,,,,,,,,,,"Nicky Lopez","19339",670032
"Travis Bazzana","CLE",28,122,110,23,15,5,1,2,12,10,10,0,37,2,1,0,,3,1,0.208341,0.0822363,0.300771,0.273418,0.284461,0.328266,0.276461,0.612726,0.119925,5.42259,0.286573,-0.00160681,0.0701056,10.535,-3.68806,76.6952,0.0684988,0.803404,-3.1743481382727623,1.2404413223266602,0.222251,999,,,,,,,96.7,3.453571428,96.7,3.453571428,,,,,,,,,,,,,,,,,,,"Travis Bazzana","sa3025129",683953
"Jose Miranda","MIN",30,131,121,32,21,7,0,3,15,15,7,0,23,2,1,0,,1,0,0.263888,0.0554554,0.171832,0.32273,0.312438,0.409435,0.316795,0.721873,0.145547,3.61098,0.297202,-0.0833784,-0.210972,15.5357,0.257978,104.358,-0.29435,-0.291841,0.3570675551891327,-2.639062851667404,0.217561,365.8500061035156,,,,,,,135.6,4.52,135.6,4.52,,,,,,,,,,,,,,,,,,,"Jose Miranda","20538",669304
"Matt Thaiss","CHW",23,93,80,18,12,4,0,2,9,7,11,0,23,1,1,0,,1,0,0.221022,0.122822,0.243254,0.504913,0.322083,0.346924,0.303345,0.669006,0.125902,3.74276,0.279163,-0.0450595,-0.0774689,10.0298,-0.815739,93.7574,-0.122528,-1.27984,-0.7849075570702553,0.16459989547729492,0.215371,747.6799926757812,,,,,,,89.1,3.873913043,89.1,3.873913043,,,,,,,,,,,,,,,,,,,"Matt Thaiss","19318",642136
"Luisangel Acuña","NYM",42,182,169,39,29,7,1,2,19,14,11,0,41,0,2,0,,11,2,0.232147,0.0586455,0.223331,0.262595,0.276853,0.32321,0.267559,0.600063,0.0910626,6.44738,0.289652,0.00300857,0.91753,14.3791,-6.77473,70.6925,0.920538,0.681871,-5.410809636116028,1.4040934443473816,0.215147,417.0899963378906,,,,,,,142.5,3.392857142,142.5,3.392857142,,,,,,,,,,,,,,,,,,,"Luisangel Acuna","26548",682668
